user_id,wine_id,points
0,0,92
1,1,92
2,2,92
2,3,92
2,4,92
3,5,91
3,6,91
3,7,91
0,8,91
4,9,91
1,10,91
0,11,91
3,12,91
1,13,91
2,14,91
1,15,91
5,16,91
0,17,90
0,18,90
1,19,90
1,20,90
6,21,90
0,22,90
2,23,91
6,24,91
6,25,91
6,26,91
7,27,91
6,28,91
2,29,91
3,30,91
6,31,91
6,32,91
6,33,91
7,34,91
3,35,91
1,36,91
3,37,91
6,38,91
6,39,91
8,40,91
8,41,91
6,42,91
2,43,91
2,44,91
7,45,91
7,46,91
8,47,91
9,48,91
4,49,90
2,50,90
10,51,90
1,52,90
11,53,90
3,54,90
6,55,90
6,56,90
2,57,90
2,58,90
4,59,90
5,60,90
4,61,90
5,62,90
8,63,90
6,64,90
2,65,90
11,66,90
1,67,90
3,68,90
2,69,90
1,70,90
8,71,90
4,72,90
4,73,90
3,74,92
6,75,92
1,76,92
9,77,92
8,78,92
6,79,92
2,80,92
5,81,92
8,82,92
5,83,100
7,84,97
5,85,97
1,86,97
2,87,96
3,88,96
7,89,96
2,90,96
5,91,95
3,92,95
7,93,95
3,94,95
1,95,95
2,96,95
3,97,95
9,98,95
5,99,95
1,100,92
1,101,92
3,102,92
2,103,92
2,104,92
6,105,92
1,106,92
3,107,92
9,108,92
9,109,92
3,110,92
3,111,92
7,112,92
1,113,92
9,114,92
7,115,92
7,116,92
3,117,92
3,118,92
3,119,92
3,120,92
2,121,92
2,122,92
3,123,92
2,124,91
6,125,91
3,126,91
3,127,91
2,128,91
8,129,91
2,130,91
2,131,91
2,132,91
3,133,91
10,134,91
6,135,91
6,136,91
9,137,91
9,138,91
12,139,91
6,140,91
9,141,91
3,142,91
2,143,91
8,144,91
9,145,91
9,146,91
9,147,91
6,148,91
7,149,91
12,150,91
2,151,91
9,152,91
6,153,93
6,154,93
6,155,93
2,156,93
6,157,93
2,158,93
2,159,93
6,160,93
2,161,93
1,162,93
2,163,93
2,164,93
3,165,93
8,166,93
3,167,93
12,168,93
8,169,93
6,170,93
10,171,93
2,172,93
10,173,93
2,174,93
6,175,93
6,176,93
6,177,93
2,178,93
8,179,93
2,180,93
5,181,92
2,182,92
9,183,92
0,184,92
0,185,92
5,186,92
2,187,92
8,188,92
5,189,92
0,190,92
0,191,92
0,192,92
6,193,92
2,194,92
3,195,92
2,196,92
6,197,92
9,198,92
3,199,92
3,200,92
7,201,92
2,202,92
1,203,92
0,204,92
5,205,92
6,206,92
0,207,92
10,208,92
9,209,92
4,210,92
2,211,90
12,212,90
