no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_rh,mean_sunshine_hrs,asian_civilisations_museum,national_museum_of_singapore,science_centre_singapore,jurong_birdpark,night_safari,river_wonders,singapore_zoological_gardens,sun_yat_sen_nanyang_memorial_hall,indian_heritage_centre
10,189.7,53.0,84.1,5.8,0,0,0,0,0,0,0,0,0
3,52.4,48.4,78.3,6.7,0,0,0,0,0,0,0,0,0
21,305.9,63.5,87.6,4.5,0,0,0,0,0,0,0,0,0
17,198.6,39.0,86.4,5.7,0,0,0,0,0,0,0,0,0
12,194.0,38.2,86.6,5.2,0,0,0,0,0,0,0,0,0
12,117.6,45.9,83.3,6.0,0,0,0,0,0,0,0,0,0
12,157.6,33.3,82.6,6.0,0,0,0,0,0,0,0,0,0
18,201.0,81.4,83.7,5.3,0,0,0,0,0,0,0,0,0
14,247.3,102.2,84.4,5.5,0,0,0,0,0,0,0,0,0
16,111.0,24.9,83.7,5.5,0,0,0,0,0,0,0,0,0
20,508.4,148.6,86.0,5.4,0,0,0,0,0,0,0,0,0
18,179.7,44.2,85.5,4.8,0,0,0,0,0,0,0,0,0
13,147.4,73.9,83.8,5.3,0,0,0,0,0,0,0,0,0
8,24.1,6.6,80.9,8.9,0,0,0,0,0,0,0,0,0
4,94.2,48.6,77.6,8.3,0,0,0,0,0,0,0,0,0
10,52.4,12.0,81.2,6.3,0,0,42,0,0,0,101,0,0
11,180.1,153.7,81.1,6.5,0,0,56,0,0,0,116,0,0
9,112.6,76.1,80.7,6.3,0,0,84,0,0,0,107,0,0
12,124.0,44.5,82.7,5.9,0,0,40,0,0,0,99,0,0
13,146.6,38.3,82.3,5.8,0,0,45,0,0,0,102,0,0
17,204.5,44.5,83.2,5.1,0,0,30,0,0,0,103,0,0
12,56.4,20.2,83.5,5.9,0,0,27,0,0,0,114,0,0
17,180.4,46.9,83.5,4.6,0,0,55,0,0,0,174,0,0
16,201.1,33.5,86.0,5.5,0,28,36,0,0,0,154,0,0
13,123.9,36.2,84.1,5.6,0,19,20,0,0,0,63,0,0
7,45.5,17.9,81.6,7.0,0,18,29,0,0,0,93,0,0
10,92.4,48.6,79.9,7.1,0,27,62,0,0,0,96,0,0
13,134.2,32.2,84.3,5.8,0,22,37,0,0,0,82,0,0
23,256.4,44.0,86.6,5.1,0,16,68,0,0,0,95,0,0
9,88.7,55.6,81.0,7.1,0,21,45,0,0,0,116,0,0
8,37.3,10.7,78.7,6.7,0,17,38,0,0,0,74,0,0
8,226.2,129.9,79.8,5.3,0,21,33,0,0,0,100,0,0
12,123.1,53.6,83.0,4.1,0,19,41,0,0,0,111,0,0
5,52.0,20.4,81.4,4.2,0,20,41,0,0,0,70,0,0
19,205.0,75.2,86.5,3.5,0,34,90,0,0,0,149,0,0
19,492.3,79.4,90.7,3.0,0,21,40,0,0,0,118,0,0
9,83.9,56.2,82.4,6.6,0,16,21,0,0,0,70,0,0
4,62.4,43.2,80.5,7.7,0,24,32,0,0,0,123,0,0
6,67.6,35.1,80.6,7.4,0,25,40,0,0,0,98,0,0
13,160.3,94.7,82.4,6.4,0,22,37,0,0,0,99,0,0
13,63.1,13.7,83.3,5.7,0,30,62,0,0,0,113,0,0
14,162.8,38.4,82.7,5.5,0,20,51,0,0,0,145,0,0
19,290.8,97.3,83.8,4.7,0,18,40,0,0,0,112,0,0
11,76.1,31.0,81.1,5.7,0,22,44,0,0,0,130,0,0
13,83.6,17.5,82.9,5.0,0,19,34,0,0,0,112,0,0
