no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_rh,mean_sunshine_hrs,asian_civilisations_museum,national_museum_of_singapore,science_centre_singapore,jurong_birdpark,night_safari,river_wonders,singapore_zoological_gardens,sun_yat_sen_nanyang_memorial_hall,indian_heritage_centre
10,107.6,35.8,79.7,5.6,38,76,51,57,82,0,126,0,0
13,122.2,22.6,81.3,5.9,57,78,84,63,91,0,127,0,0
22,208.2,49.2,85.4,4.4,35,75,90,59,77,0,125,0,0
22,363.4,78.8,87.0,3.6,37,55,128,78,102,0,233,0,0
15,262.0,73.0,82.1,6.0,36,65,68,58,93,0,152,0,0
22,395.2,95.2,86.9,4.0,34,75,60,63,88,0,137,0,0
10,85.8,29.6,80.4,7.5,45,82,57,66,97,0,180,0,0
19,159.4,41.6,82.7,5.2,36,70,50,57,82,42,127,0,0
17,211.4,46.2,83.1,5.4,37,79,70,73,97,58,135,0,0
12,111.4,22.4,74.6,6.4,34,98,85,69,97,79,143,0,0
15,174.6,37.4,79.9,5.7,35,106,84,73,117,62,175,0,0
15,165.6,43.2,79.0,6.1,42,195,89,77,137,87,183,0,0
19,257.0,52.6,81.3,4.6,41,108,45,51,78,66,127,0,0
19,285.4,139.8,79.9,6.3,43,104,64,60,95,63,132,0,0
22,292.4,44.0,84.6,4.5,39,104,117,55,78,78,127,0,0
21,348.2,119.8,85.8,3.5,31,114,112,76,110,169,184,0,0
5,75.4,31.2,78.5,5.3,37,106,60,60,106,103,136,4,0
1,0.2,0.2,74.5,8.8,38,112,59,58,96,102,135,8,0
6,66.0,52.6,76.0,8.0,49,71,53,52,89,123,132,4,0
17,110.0,28.8,80.0,5.7,47,62,41,59,88,86,133,3,0
18,125.8,22.2,80.2,5.8,39,84,53,75,102,95,139,9,0
11,71.4,18.8,77.5,6.0,26,75,109,66,99,118,142,8,0
15,148.6,29.0,78.3,5.5,45,74,130,71,123,93,156,7,0
20,241.0,44.2,79.7,4.5,28,102,99,74,137,94,169,7,0
9,83.6,34.6,75.6,7.0,28,64,64,45,78,68,118,9,0
10,120.0,32.8,77.0,6.0,33,51,71,60,97,85,130,18,0
23,250.8,64.4,82.4,5.4,27,51,86,48,70,86,125,11,0
17,245.6,48.2,82.6,3.7,27,50,128,69,97,91,165,7,0
6,79.6,33.6,77.6,7.4,26,51,58,63,95,51,130,5,0
6,18.8,10.8,75.4,7.3,26,46,69,62,106,59,156,19,0
5,84.4,46.0,75.8,7.3,26,56,76,53,80,54,128,4,0
13,73.2,18.8,77.1,7.2,25,89,79,62,79,56,133,6,0
12,89.0,22.2,78.9,5.8,23,84,88,83,101,73,153,8,43
10,95.8,28.4,75.8,6.7,25,76,76,78,94,87,190,10,24
13,116.8,45.8,74.9,7.1,30,56,94,78,127,83,185,8,24
11,185.8,63.2,76.7,6.1,46,109,191,92,137,120,223,7,23
8,61.6,18.4,75.0,4.3,20,45,67,44,81,56,116,11,36
9,87.2,28.6,75.4,4.7,40,51,69,55,87,55,106,7,21
13,72.6,25.8,79.1,4.8,40,51,79,67,75,59,126,9,14
19,302.3,40.4,81.1,5.3,24,60,100,74,97,90,187,6,9
15,126.6,39.6,79.6,7.2,35,61,64,67,98,54,135,6,12
10,186.0,71.8,78.8,6.5,38,50,77,62,91,58,154,11,13
6,6.2,2.4,74.7,8.0,69,51,82,57,91,61,144,8,11
14,89.8,18.2,75.6,7.0,46,60,67,58,82,54,128,4,11
12,193.8,54.8,77.4,6.2,45,77,74,82,101,68,149,9,11
13,162.8,67.8,77.7,5.4,33,89,83,68,99,74,145,5,10
20,168.6,59.4,77.3,6.3,41,55,87,79,130,90,184,6,16
15,139.2,30.6,74.0,6.7,43,94,86,76,133,96,189,6,13
15,118.9,34.0,73.9,5.5,51,63,58,48,75,55,119,28,12
16,181.0,75.4,72.0,4.6,54,57,69,57,85,76,135,16,16
20,290.2,65.6,77.6,3.5,40,56,95,48,67,57,117,23,12
23,292.6,73.0,72.8,5.1,40,65,115,72,98,102,199,12,9
21,197.6,60.6,84.8,4.8,52,66,79,65,104,73,162,16,13
15,158.4,31.0,83.2,7.1,41,70,70,53,93,61,133,11,12
11,136.2,30.2,82.5,6.1,37,61,80,51,93,70,146,8,15
21,208.6,42.8,83.5,5.3,43,49,59,78,100,75,157,9,13
15,190.0,44.8,82.8,5.9,50,58,64,89,110,79,148,14,16
10,106.0,29.6,80.2,6.3,48,64,82,77,113,87,160,5,12
9,79.6,30.2,79.6,7.0,43,72,95,76,130,92,188,6,14
18,84.2,29.4,79.9,6.1,41,190,89,76,140,111,201,8,17
19,124.4,20.2,81.0,5.7,29,61,52,60,89,65,134,11,18
18,120.8,31.2,82.5,5.5,37,83,69,67,104,78,152,14,25
24,268.6,45.2,86.3,4.2,33,61,56,57,75,60,116,14,10
23,371.2,69.8,85.2,5.6,34,67,82,79,114,102,195,8,14
25,287.0,45.8,86.6,4.1,42,70,58,63,104,68,138,13,21
5,14.8,13.0,77.2,8.0,37,75,78,62,114,72,163,33,12
10,44.6,15.2,78.4,6.4,46,80,66,65,110,75,159,17,16
14,61.2,14.0,78.5,6.8,46,67,49,66,98,71,153,16,17
19,132.2,47.4,79.0,5.8,49,80,69,83,112,77,150,14,14
17,182.6,46.8,79.3,4.1,44,83,78,72,114,83,168,21,16
10,143.2,32.4,77.7,6.1,47,87,98,69,141,94,248,11,22
11,121.6,34.6,77.0,6.7,42,132,97,70,156,105,246,13,17
13,144.4,45.0,77.1,6.0,37,69,70,49,87,74,160,36,20
18,234.4,60.6,79.7,6.1,50,80,68,60,96,75,158,15,31
27,169.6,20.6,83.2,3.8,44,68,63,59,87,66,145,18,24
19,172.6,43.8,81.5,5.1,41,69,71,72,110,99,223,8,12
9,63.6,38.2,75.6,7.1,52,75,71,57,111,71,149,17,27
5,31.6,13.4,74.1,9.2,55,83,67,56,113,81,184,26,14
6,72.2,29.0,72.3,8.3,66,86,89,57,96,71,150,13,23
9,174.8,52.4,77.6,5.9,49,72,63,65,102,74,155,13,18
13,69.0,17.2,79.2,7.0,47,67,74,70,111,75,145,12,15
16,173.8,37.6,79.5,5.3,58,116,108,73,116,86,182,23,19
8,12.2,6.6,75.2,7.5,65,134,129,61,141,90,217,14,19
6,11.8,3.8,72.1,7.6,64,187,125,69,158,108,250,26,17
4,22.8,16.4,73.0,6.7,64,69,96,148,83,64,146,28,14
15,176.8,92.2,78.1,6.5,56,82,77,60,99,82,164,14,34
15,137.4,73.4,79.2,5.5,51,64,60,52,81,66,132,21,23
14,421.5,74.2,83.9,4.8,44,66,68,64,106,94,192,12,14
6,88.4,38.0,77.9,7.1,46,73,65,58,112,75,171,29,26
8,65.0,23.8,76.0,8.3,29,42,32,17,43,24,50,23,7
8,108.8,47.4,75.2,7.6,15,32,19,13,24,30,64,6,6
12,188.0,51.8,76.4,7.1,0,0,2,1,1,2,4,0,0
16,255.6,53.8,79.1,5.7,0,0,0,0,0,0,0,0,0
21,233.8,41.0,80.2,4.3,0,0,0,0,0,0,0,0,0
22,140.8,30.4,78.2,5.7,10,29,6,18,2,32,68,5,2
12,103.4,34.6,76.8,6.4,13,32,11,24,22,39,78,7,2
18,150.2,32.8,79.0,4.8,12,20,19,23,21,65,92,10,2
16,78.8,19.0,75.4,4.3,14,29,12,27,29,62,100,13,3
19,220.6,64.2,81.7,4.0,18,84,21,24,25,61,88,6,3
20,253.2,58.2,81.1,5.2,23,84,57,40,64,120,169,9,3
17,692.8,210.6,82.6,4.2,19,23,15,90,22,41,55,13,8
2,1.0,0.6,73.8,8.2,18,22,10,19,22,42,67,20,4
14,182.4,38.0,76.6,7.3,23,32,21,27,46,77,115,10,9
14,290.4,83.8,77.4,6.8,21,27,16,19,28,48,64,8,9
13,245.8,49.8,79.3,6.0,15,22,8,12,16,31,45,6,3
20,93.4,23.8,77.8,6.5,11,21,14,17,22,43,65,8,2
12,195.8,75.0,76.5,6.8,16,25,16,13,19,36,77,8,3
24,293.6,71.4,80.4,4.8,16,27,12,13,16,38,68,7,2
14,205.4,63.4,77.3,6.4,18,26,23,17,22,50,91,31,3
14,177.0,59.6,78.3,6.2,14,25,14,12,19,41,65,6,5
23,312.4,47.8,81.7,4.9,15,30,25,15,19,47,71,8,3
15,119.6,46.8,79.7,5.4,20,56,63,38,48,97,148,9,3
9,99.8,50.0,77.4,8.3,19,32,22,15,24,57,73,3,7
16,175.0,29.6,80.3,5.9,14,36,17,13,19,48,66,5,3
21,163.2,36.2,79.2,6.4,17,44,33,18,30,63,85,2,4
18,239.6,58.8,80.0,5.2,19,37,29,18,30,53,66,2,5
12,102.0,44.6,76.5,6.7,24,52,39,20,40,68,93,4,9
17,211.8,59.4,79.1,4.7,30,85,64,29,55,77,106,3,7
16,145.2,27.8,76.8,6.2,32,84,33,23,59,66,101,3,11
15,141.4,32.4,77.4,5.5,32,100,26,18,53,64,89,6,9
